Date,Distance,Time
01/01/2018,0,0
02/01/2018,0,0
03/01/2018,0,0
04/01/2018,0,0
05/01/2018,0,0
06/01/2018,0,0
07/01/2018,0,0
08/01/2018,0,0
09/01/2018,0,0
10/01/2018,0,0
11/01/2018,0,0
12/01/2018,0,0
13/01/2018,0,0
14/01/2018,0,0
15/01/2018,0,0
16/01/2018,0,0
17/01/2018,0,0
18/01/2018,0,0
19/01/2018,0,0
20/01/2018,0,0
21/01/2018,0,0
22/01/2018,0,0
23/01/2018,0,0
24/01/2018,0,0
25/01/2018,0,0
26/01/2018,0,0
27/01/2018,0,0
28/01/2018,0,0
29/01/2018,0,0
30/01/2018,0,0
31/01/2018,0,0
01/02/2018,0,0
02/02/2018,0,0
03/02/2018,0,0
04/02/2018,0,0
05/02/2018,0,0
06/02/2018,0,0
07/02/2018,0,0
08/02/2018,0,0
09/02/2018,0,0
10/02/2018,0,0
11/02/2018,3.4,20.39
12/02/2018,3.36,20.17
13/02/2018,3.37,20
14/02/2018,0,0
15/02/2018,0,0
16/02/2018,0,0
17/02/2018,0,0
18/02/2018,0,0
19/02/2018,0,0
20/02/2018,0,0
21/02/2018,0,0
22/02/2018,0,0
23/02/2018,0,0
24/02/2018,4.2,26.03
25/02/2018,0,0
26/02/2018,0,0
27/02/2018,0,0
28/02/2018,0,0
01/03/2018,0,0
02/03/2018,0,0
03/03/2018,3.49,17.53
04/03/2018,5,25
05/03/2018,5,26
06/03/2018,5.13,30.23
07/03/2018,5.32,31.29
08/03/2018,0,0
09/03/2018,0,0
10/03/2018,0,0
11/03/2018,0,0
12/03/2018,0,0
13/03/2018,6.53,39.3
14/03/2018,0,0
15/03/2018,0,0
16/03/2018,0,0
17/03/2018,3.3,19
18/03/2018,0,0
19/03/2018,0,0
20/03/2018,5.1,30.47
21/03/2018,0,0
22/03/2018,0,0
23/03/2018,0,0
24/03/2018,0,0
25/03/2018,0,0
26/03/2018,0,0
27/03/2018,0,0
28/03/2018,0,0
29/03/2018,0,0
30/03/2018,0,0
31/03/2018,0,0
01/04/2018,0,0
02/04/2018,5.07,30.31
03/04/2018,0,0
04/04/2018,3.05,17.54
05/04/2018,0,0
06/04/2018,0,0
07/04/2018,0,0
08/04/2018,0,0
09/04/2018,0,0
10/04/2018,0,0
11/04/2018,0,0
12/04/2018,3.22,18.55
13/04/2018,4.12,23.55
14/04/2018,3.38,19.29
15/04/2018,0,0
16/04/2018,6.13,36.57
17/04/2018,0,0
18/04/2018,6.14,36.32
19/04/2018,3.68,21.48
20/04/2018,3.47,20.11
21/04/2018,3.52,20.03
22/04/2018,0,0
23/04/2018,7.14,42.21
24/04/2018,0,0
25/04/2018,0,0
26/04/2018,0,0
27/04/2018,0,0
28/04/2018,3.31,19.31
29/04/2018,0,0
30/04/2018,6.18,36.28
01/05/2018,0,0
02/05/2018,0,0
03/05/2018,3.45,19.43
04/05/2018,0,0
05/05/2018,0.44,2.29
06/05/2018,0,0
07/05/2018,0,0
08/05/2018,0,0
09/05/2018,3.56,20.32
10/05/2018,4.08,24.34
11/05/2018,0,0
12/05/2018,4.64,26.2
13/05/2018,0,0
14/05/2018,6.41,38.28
15/05/2018,0,0
16/05/2018,7.11,42.17
17/05/2018,0,0
18/05/2018,0,0
19/05/2018,0,0
20/05/2018,0,0
21/05/2018,0,0
22/05/2018,0,0
23/05/2018,0,0
24/05/2018,0,0
25/05/2018,0,0
26/05/2018,0,0
27/05/2018,0,0
28/05/2018,0,0
29/05/2018,0,0
30/05/2018,0,0
31/05/2018,0,0
01/06/2018,0,0
02/06/2018,0,0
03/06/2018,0,0
04/06/2018,0,0
05/06/2018,0,0
06/06/2018,0,0
07/06/2018,0,0
08/06/2018,0,0
09/06/2018,0,0
10/06/2018,0,0
11/06/2018,0,0
12/06/2018,0,0
13/06/2018,0,0
14/06/2018,0,0
15/06/2018,0,0
16/06/2018,0,0
17/06/2018,0,0
18/06/2018,0,0
19/06/2018,0,0
20/06/2018,0,0
21/06/2018,0,0
22/06/2018,0,0
23/06/2018,0,0
24/06/2018,0,0
25/06/2018,0,0
26/06/2018,0,0
27/06/2018,0,0
28/06/2018,0,0
29/06/2018,0,0
30/06/2018,0,0
01/07/2018,0,0
02/07/2018,0,0
03/07/2018,0,0
04/07/2018,0,0
05/07/2018,0,0
06/07/2018,0,0
07/07/2018,0,0
08/07/2018,0,0
09/07/2018,0,0
10/07/2018,0,0
11/07/2018,0,0
12/07/2018,0,0
13/07/2018,0,0
14/07/2018,0,0
15/07/2018,0,0
16/07/2018,0,0
17/07/2018,0,0
18/07/2018,0,0
19/07/2018,0,0
20/07/2018,0,0
21/07/2018,0,0
22/07/2018,0,0
23/07/2018,0,0
24/07/2018,0,0
25/07/2018,0,0
26/07/2018,0,0
27/07/2018,0,0
28/07/2018,0,0
29/07/2018,0,0
30/07/2018,0,0
31/07/2018,0,0
01/08/2018,0,0
02/08/2018,0,0
03/08/2018,0,0
04/08/2018,0,0
05/08/2018,0,0
06/08/2018,0,0
07/08/2018,0,0
08/08/2018,0,0
09/08/2018,0,0
10/08/2018,0,0
11/08/2018,0,0
12/08/2018,0,0
13/08/2018,0,0
14/08/2018,0,0
15/08/2018,0,0
16/08/2018,0,0
17/08/2018,0,0
18/08/2018,0,0
19/08/2018,0,0
20/08/2018,0,0
21/08/2018,0,0
22/08/2018,0,0
23/08/2018,0,0
24/08/2018,0,0
25/08/2018,0,0
26/08/2018,0,0
27/08/2018,0,0
28/08/2018,0,0
29/08/2018,0,0
30/08/2018,0,0
31/08/2018,0,0
01/09/2018,3.4,20.11
02/09/2018,3.28,19.4
03/09/2018,3.53,21.5
04/09/2018,0,0
05/09/2018,0.38,4.04
06/09/2018,0,0
07/09/2018,0,0
08/09/2018,3.61,21.33
09/09/2018,3.61,21.48
10/09/2018,3.67,23.09
11/09/2018,3.63,22
12/09/2018,3.68,22.09
13/09/2018,0,0
14/09/2018,0,0
15/09/2018,3.07,20
16/09/2018,3.52,21.42
17/09/2018,3.46,21.2
18/09/2018,0,0
19/09/2018,3.5,21.2
20/09/2018,0,0
21/09/2018,3.69,22.16
22/09/2018,0,0
23/09/2018,3.16,18.33
24/09/2018,4.17,24.52
25/09/2018,0,0
26/09/2018,0,0
27/09/2018,0,0
28/09/2018,0,0
29/09/2018,0,0
30/09/2018,0,0
01/10/2018,3.15,19
02/10/2018,0,0
03/10/2018,0,0
04/10/2018,3.39,17.56
05/10/2018,0,0
06/10/2018,3.41,19.4
07/10/2018,0,0
08/10/2018,4.07,24.05
09/10/2018,0,0
10/10/2018,0,0
11/10/2018,0,0
12/10/2018,0,0
13/10/2018,0,0
14/10/2018,0,0
15/10/2018,0,0
16/10/2018,0,0
17/10/2018,0,0
18/10/2018,0,0
19/10/2018,0,0
20/10/2018,3.22,18.5
21/10/2018,0,0
22/10/2018,0,0
23/10/2018,0,0
24/10/2018,0,0
25/10/2018,0,0
26/10/2018,0,0
27/10/2018,0,0
28/10/2018,0,0
29/10/2018,0,0
30/10/2018,0,0
31/10/2018,0,0
01/11/2018,0,0
02/11/2018,0,0
03/11/2018,3.33,18
04/11/2018,0,0
05/11/2018,0,0
06/11/2018,0,0
07/11/2018,0,0
08/11/2018,0,0
09/11/2018,0,0
10/11/2018,0,0
11/11/2018,0,0
12/11/2018,0,0
13/11/2018,0,0
14/11/2018,0,0
15/11/2018,0,0
16/11/2018,3.36,20.3
17/11/2018,4.09,24.31
18/11/2018,3.11,19
19/11/2018,3.3,20
20/11/2018,0,0
21/11/2018,0,0
22/11/2018,0,0
23/11/2018,3.35,20.31
24/11/2018,0,0
25/11/2018,0,0
26/11/2018,0,0
27/11/2018,0,0
28/11/2018,0,0
29/11/2018,0,0
30/11/2018,0,0
01/12/2018,0,0
02/12/2018,0,0
03/12/2018,4,25
04/12/2018,0,0
05/12/2018,0,0
06/12/2018,0,0
07/12/2018,0,0
08/12/2018,0,0
09/12/2018,0,0
10/12/2018,0,0
11/12/2018,0,0
12/12/2018,0,0
13/12/2018,0,0
14/12/2018,0,0
15/12/2018,0,0
16/12/2018,0,0
17/12/2018,0,0
18/12/2018,0,0
19/12/2018,0,0
20/12/2018,0,0
21/12/2018,0,0
22/12/2018,0,0
23/12/2018,1.23,7
24/12/2018,0,0
25/12/2018,0,0
26/12/2018,0,0
27/12/2018,0,0
28/12/2018,3.15,18.35
29/12/2018,3.03,18
30/12/2018,0,0
31/12/2018,0,0
01/01/2019,3,18
02/01/2019,0,0
03/01/2019,0,0
04/01/2019,0,0
05/01/2019,3.26,20.16
06/01/2019,0,0
07/01/2019,0,0
08/01/2019,0,0
09/01/2019,0,0
10/01/2019,0,0
11/01/2019,0,0
12/01/2019,0,0
13/01/2019,0,0
14/01/2019,0,0
15/01/2019,0,0
16/01/2019,0,0
17/01/2019,0,0
18/01/2019,0,0
19/01/2019,3.1,18
20/01/2019,0,0
21/01/2019,3.25,19.25
22/01/2019,0,0
23/01/2019,0,0
24/01/2019,0,0
25/01/2019,3.21,19.07
26/01/2019,3.22,19.02
27/01/2019,0,0
28/01/2019,0,0
29/01/2019,0,0
30/01/2019,0,0
31/01/2019,0,0
01/02/2019,0,0
02/02/2019,3.5,19.42
03/02/2019,0,0
04/02/2019,0,0
05/02/2019,0,0
06/02/2019,0,0
07/02/2019,0,0
08/02/2019,0,0
09/02/2019,2.11,12.23
10/02/2019,0,0
11/02/2019,0,0
12/02/2019,0,0
13/02/2019,0,0
14/02/2019,0,0
15/02/2019,0,0
16/02/2019,3.39,20.19
17/02/2019,0,0
18/02/2019,0,0
19/02/2019,0,0
20/02/2019,0,0
21/02/2019,0,0
22/02/2019,0,0
23/02/2019,3.02,18
24/02/2019,0,0
25/02/2019,0,0
26/02/2019,0,0
27/02/2019,0,0
28/02/2019,0,0
01/03/2019,0,0
02/03/2019,0,0
03/03/2019,0,0
04/03/2019,0,0
05/03/2019,0,0
06/03/2019,0,0
07/03/2019,0,0
08/03/2019,0,0
09/03/2019,0,0
10/03/2019,0,0
11/03/2019,0,0
12/03/2019,0,0
13/03/2019,0,0
14/03/2019,0,0
15/03/2019,0,0
16/03/2019,1.23,7.18
17/03/2019,0,0
18/03/2019,0,0
19/03/2019,0,0
20/03/2019,0,0
21/03/2019,0,0
22/03/2019,0,0
23/03/2019,3.08,18.31
24/03/2019,0,0
25/03/2019,0,0
26/03/2019,0,0
27/03/2019,0,0
28/03/2019,0,0
29/03/2019,0,0
30/03/2019,0,0
31/03/2019,0,0
01/04/2019,0,0
02/04/2019,0,0
03/04/2019,0,0
04/04/2019,0,0
05/04/2019,0,0
06/04/2019,0,0
07/04/2019,0,0
08/04/2019,0,0
09/04/2019,0,0
10/04/2019,3.06,18.27
11/04/2019,0,0
12/04/2019,0,0
13/04/2019,0,0
14/04/2019,0,0
15/04/2019,0,0
16/04/2019,0,0
17/04/2019,0,0
18/04/2019,0,0
19/04/2019,0,0
20/04/2019,0,0
21/04/2019,0,0
22/04/2019,0,0
23/04/2019,0,0
24/04/2019,0,0
25/04/2019,0,0
26/04/2019,3.19,18.55
27/04/2019,0,0
28/04/2019,0,0
29/04/2019,3.14,18.32
30/04/2019,0,0
01/05/2019,3.38,20.14
02/05/2019,0,0
03/05/2019,0,0
04/05/2019,4.17,24.37
05/05/2019,0,0
06/05/2019,0,0
07/05/2019,0,0
08/05/2019,0,0
09/05/2019,0,0
10/05/2019,0,0
11/05/2019,3.16,18.36
12/05/2019,0,0
13/05/2019,0,0
14/05/2019,0,0
15/05/2019,0,0
16/05/2019,0,0
17/05/2019,0,0
18/05/2019,0,0
19/05/2019,0,0
20/05/2019,0,0
21/05/2019,0,0
22/05/2019,0,0
23/05/2019,0,0
24/05/2019,0,0
25/05/2019,3.45,20.31
26/05/2019,0,0
27/05/2019,0,0
28/05/2019,0,0
29/05/2019,0,0
30/05/2019,0,0
31/05/2019,0,0
01/06/2019,0,0
02/06/2019,0,0
03/06/2019,0,0
04/06/2019,0,0
05/06/2019,0,0
06/06/2019,0,0
07/06/2019,0,0
08/06/2019,0,0
09/06/2019,0,0
10/06/2019,0,0
11/06/2019,0,0
12/06/2019,0,0
13/06/2019,0,0
14/06/2019,0,0
15/06/2019,0,0
16/06/2019,0,0
17/06/2019,0,0
18/06/2019,0,0
19/06/2019,0,0
20/06/2019,0,0
21/06/2019,0,0
22/06/2019,0,0
23/06/2019,0,0
24/06/2019,0,0
25/06/2019,0,0
26/06/2019,0,0
27/06/2019,0,0
28/06/2019,0,0
29/06/2019,0,0
30/06/2019,0,0
01/07/2019,0,0
02/07/2019,0,0
03/07/2019,0,0
04/07/2019,0,0
05/07/2019,0,0
06/07/2019,0,0
07/07/2019,0,0
08/07/2019,0,0
09/07/2019,0,0
10/07/2019,0,0
11/07/2019,0,0
12/07/2019,0,0
13/07/2019,0,0
14/07/2019,0,0
15/07/2019,3.18,18
16/07/2019,0,0
17/07/2019,3.2,20
18/07/2019,0,0
19/07/2019,3.2,20
20/07/2019,3.2,20
21/07/2019,3.4,22
22/07/2019,0,0
23/07/2019,0,0
24/07/2019,0,0
25/07/2019,0,0
26/07/2019,0,0
27/07/2019,0,0
28/07/2019,0,0
29/07/2019,0,0
30/07/2019,0,0
31/07/2019,0,0
01/08/2019,0,0
02/08/2019,0,0
03/08/2019,0,0
04/08/2019,0,0
05/08/2019,0,0
06/08/2019,0,0
07/08/2019,0,0
08/08/2019,0,0
09/08/2019,0,0
10/08/2019,0,0
11/08/2019,0,0
12/08/2019,0,0
13/08/2019,0,0
14/08/2019,0,0
15/08/2019,0,0
16/08/2019,0,0
17/08/2019,0,0
18/08/2019,0,0
19/08/2019,0,0
20/08/2019,0,0
21/08/2019,0,0
22/08/2019,0,0
23/08/2019,0,0
24/08/2019,0,0
25/08/2019,0,0
26/08/2019,0,0
27/08/2019,0,0
28/08/2019,0,0
29/08/2019,0,0
30/08/2019,0,0
31/08/2019,0,0
01/09/2019,0,0
02/09/2019,0,0
03/09/2019,0,0
04/09/2019,0,0
05/09/2019,0,0
06/09/2019,0,0
07/09/2019,0,0
08/09/2019,0,0
09/09/2019,0,0
10/09/2019,0,0
11/09/2019,0,0
12/09/2019,0,0
13/09/2019,0,0
14/09/2019,0,0
15/09/2019,0,0
16/09/2019,0,0
17/09/2019,0,0
18/09/2019,0,0
19/09/2019,0,0
20/09/2019,0,0
21/09/2019,0,0
22/09/2019,0,0
23/09/2019,0,0
24/09/2019,0,0
25/09/2019,0,0
26/09/2019,0,0
27/09/2019,0,0
28/09/2019,0,0
29/09/2019,0,0
30/09/2019,0,0
01/10/2019,0,0
02/10/2019,0,0
03/10/2019,0,0
04/10/2019,0,0
05/10/2019,0,0
06/10/2019,0,0
07/10/2019,0,0
08/10/2019,0,0
09/10/2019,0,0
10/10/2019,0,0
11/10/2019,0,0
12/10/2019,0,0
13/10/2019,0,0
14/10/2019,0,0
15/10/2019,0,0
16/10/2019,0,0
17/10/2019,0,0
18/10/2019,0,0
19/10/2019,0,0
20/10/2019,0,0
21/10/2019,0,0
22/10/2019,0,0
23/10/2019,0,0
24/10/2019,0,0
25/10/2019,0,0
26/10/2019,0,0
27/10/2019,0,0
28/10/2019,0,0
29/10/2019,0,0
30/10/2019,0,0
31/10/2019,0,0
01/11/2019,0,0
02/11/2019,0,0
03/11/2019,0,0
04/11/2019,0,0
05/11/2019,0,0
06/11/2019,0,0
07/11/2019,0,0
08/11/2019,0,0
09/11/2019,0,0
10/11/2019,0,0
11/11/2019,0,0
12/11/2019,0,0
13/11/2019,0,0
14/11/2019,0,0
15/11/2019,0,0
16/11/2019,0,0
17/11/2019,0,0
18/11/2019,0,0
19/11/2019,0,0
20/11/2019,0,0
21/11/2019,0,0
22/11/2019,0,0
23/11/2019,0,0
24/11/2019,0,0
25/11/2019,0,0
26/11/2019,0,0
27/11/2019,0,0
28/11/2019,0,0
29/11/2019,0,0
30/11/2019,0,0
01/12/2019,0,0
02/12/2019,0,0
03/12/2019,0,0
04/12/2019,0,0
05/12/2019,0,0
06/12/2019,0,0
07/12/2019,0,0
08/12/2019,0,0
09/12/2019,0,0
10/12/2019,0,0
11/12/2019,0,0
12/12/2019,0,0
13/12/2019,0,0
14/12/2019,0,0
15/12/2019,0,0
16/12/2019,0,0
17/12/2019,0,0
18/12/2019,0,0
19/12/2019,0,0
20/12/2019,0,0
21/12/2019,0,0
22/12/2019,0,0
23/12/2019,0,0
24/12/2019,0,0
25/12/2019,0,0
26/12/2019,0,0
27/12/2019,0,0
28/12/2019,0,0
29/12/2019,0,0
30/12/2019,0,0
31/12/2019,0,0
01/02/2020,2,18
02/02/2020,0,0
03/02/2020,0,0
04/02/2020,0,0
05/02/2020,0,0
06/02/2020,0,0
07/02/2020,0,0
08/02/2020,0,0
09/02/2020,0,0
10/02/2020,0,0
11/02/2020,0,0
12/02/2020,0,0
13/02/2020,0,0
14/02/2020,0,0
15/02/2020,0,0
16/02/2020,0,0
17/02/2020,0,0
18/02/2020,0,0
19/02/2020,0,0
20/02/2020,0,0
21/02/2020,0,0
22/02/2020,0,0
23/02/2020,0,0
24/02/2020,0,0
25/02/2020,0,0
26/02/2020,0,0
27/02/2020,0,0
28/02/2020,0,0
29/02/2020,0,0
01/03/2020,0,0
02/03/2020,0,0
03/03/2020,0,0
04/03/2020,0,0
05/03/2020,0,0
06/03/2020,0,0
07/03/2020,0,0
08/03/2020,0,0
09/03/2020,0,0
10/03/2020,0,0
11/03/2020,0,0
12/03/2020,0,0
13/03/2020,0,0
14/03/2020,0,0
15/03/2020,0,0
16/03/2020,0,0
17/03/2020,0,0
18/03/2020,0,0
19/03/2020,0,0
20/03/2020,0,0
21/03/2020,0,0
22/03/2020,0,0
23/03/2020,0,0
24/03/2020,0,0
25/03/2020,0,0
26/03/2020,0,0
27/03/2020,0,0
28/03/2020,0,0
29/03/2020,0,0
30/03/2020,0,0
31/03/2020,0,0
01/04/2020,0,0
02/04/2020,0,0
03/04/2020,0,0
04/04/2020,0,0
05/04/2020,0,0
06/04/2020,0,0
07/04/2020,0,0
08/04/2020,0,0
09/04/2020,0,0
10/04/2020,0,0
11/04/2020,0,0
12/04/2020,0,0
13/04/2020,0,0
14/04/2020,0,0
15/04/2020,0,0
16/04/2020,0,0
17/04/2020,0,0
18/04/2020,0,0
19/04/2020,0,0
20/04/2020,0,0
21/04/2020,0,0
22/04/2020,0,0
23/04/2020,0,0
24/04/2020,0,0
25/04/2020,0,0
26/04/2020,0,0
27/04/2020,0,0
28/04/2020,0,0
29/04/2020,0,0
30/04/2020,0,0
01/05/2020,0,0
02/05/2020,0,0
03/05/2020,0,0
04/05/2020,0,0
05/05/2020,0,0
06/05/2020,0,0
07/05/2020,0,0
08/05/2020,0,0
09/05/2020,0,0
10/05/2020,0,0
11/05/2020,0,0
12/05/2020,0,0
13/05/2020,0,0
14/05/2020,0,0
15/05/2020,0,0
16/05/2020,0,0
17/05/2020,0,0
18/05/2020,0,0
19/05/2020,0,0
20/05/2020,0,0
21/05/2020,0,0
22/05/2020,0,0
23/05/2020,0,0
24/05/2020,0,0
25/05/2020,0,0
26/05/2020,0,0
27/05/2020,0,0
28/05/2020,0,0
29/05/2020,0,0
30/05/2020,0,0
31/05/2020,0,0
01/06/2020,0,0
02/06/2020,0,0
03/06/2020,0,0
04/06/2020,0,0
05/06/2020,0,0
06/06/2020,0,0
07/06/2020,0,0
08/06/2020,0,0
09/06/2020,0,0
10/06/2020,0,0
11/06/2020,0,0
12/06/2020,0,0
13/06/2020,0,0
14/06/2020,0,0
15/06/2020,0,0
16/06/2020,0,0
17/06/2020,0,0
18/06/2020,0,0
19/06/2020,0,0
20/06/2020,0,0
21/06/2020,0,0
22/06/2020,0,0
23/06/2020,0,0
24/06/2020,0,0
25/06/2020,0,0
26/06/2020,0,0
27/06/2020,0,0
28/06/2020,0,0
29/06/2020,0,0
30/06/2020,0,0
01/07/2020,0,0
02/07/2020,0,0
03/07/2020,0,0
04/07/2020,0,0
05/07/2020,0,0
06/07/2020,0,0
07/07/2020,0,0
08/07/2020,0,0
09/07/2020,0,0
10/07/2020,0,0
11/07/2020,0,0
12/07/2020,0,0
13/07/2020,0,0
14/07/2020,0,0
15/07/2020,0,0
16/07/2020,0,0
17/07/2020,0,0
18/07/2020,0,0
19/07/2020,0,0
20/07/2020,0,0
21/07/2020,0,0
22/07/2020,0,0
23/07/2020,0,0
24/07/2020,0,0
25/07/2020,0,0
26/07/2020,0,0
27/07/2020,0,0
28/07/2020,0,0
29/07/2020,0,0
30/07/2020,0,0
31/07/2020,0,0
01/08/2020,0,0
02/08/2020,0,0
03/08/2020,0,0
04/08/2020,0,0
05/08/2020,0,0
06/08/2020,0,0
07/08/2020,0,0
08/08/2020,0,0
09/08/2020,0,0
10/08/2020,0,0
11/08/2020,0,0
12/08/2020,0,0
13/08/2020,0,0
14/08/2020,0,0
15/08/2020,0,0
16/08/2020,0,0
17/08/2020,0,0
18/08/2020,0,0
19/08/2020,0,0
20/08/2020,0,0
21/08/2020,0,0
22/08/2020,0,0
23/08/2020,0,0
24/08/2020,0,0
25/08/2020,0,0
26/08/2020,0,0
27/08/2020,0,0
28/08/2020,0,0
29/08/2020,0,0
30/08/2020,0,0
31/08/2020,0,0
01/09/2020,0,0
02/09/2020,0,0
03/09/2020,0,0
04/09/2020,0,0
05/09/2020,0,0
06/09/2020,0,0
07/09/2020,0,0
08/09/2020,0,0
09/09/2020,0,0
10/09/2020,0,0
11/09/2020,0,0
12/09/2020,0,0
13/09/2020,0,0
14/09/2020,0,0
15/09/2020,0,0
16/09/2020,0,0
17/09/2020,0,0
18/09/2020,0,0
19/09/2020,0,0
20/09/2020,0,0
21/09/2020,0,0
22/09/2020,0,0
23/09/2020,0,0
24/09/2020,0,0
25/09/2020,0,0
26/09/2020,0,0
27/09/2020,0,0
28/09/2020,0,0
29/09/2020,0,0
30/09/2020,0,0
01/10/2020,0,0
02/10/2020,0,0
03/10/2020,0,0
04/10/2020,0,0
05/10/2020,0,0
06/10/2020,0,0
07/10/2020,0,0
08/10/2020,0,0
09/10/2020,0,0
10/10/2020,0,0
11/10/2020,0,0
12/10/2020,0,0
13/10/2020,0,0
14/10/2020,0,0
15/10/2020,0,0
16/10/2020,0,0
17/10/2020,0,0
18/10/2020,0,0
19/10/2020,0,0
20/10/2020,0,0
21/10/2020,0,0
22/10/2020,0,0
23/10/2020,0,0
24/10/2020,0,0
25/10/2020,0,0
26/10/2020,0,0
27/10/2020,0,0
28/10/2020,0,0
29/10/2020,0,0
30/10/2020,0,0
31/10/2020,0,0
01/11/2020,0,0
02/11/2020,0,0
03/11/2020,0,0
04/11/2020,0,0
05/11/2020,0,0
06/11/2020,0,0
07/11/2020,0,0
08/11/2020,0,0
09/11/2020,0,0
10/11/2020,0,0
11/11/2020,0,0
12/11/2020,0,0
13/11/2020,0,0
14/11/2020,0,0
15/11/2020,0,0
16/11/2020,0,0
17/11/2020,0,0
18/11/2020,0,0
19/11/2020,0,0
20/11/2020,0,0
21/11/2020,0,0
22/11/2020,0,0
23/11/2020,0,0
24/11/2020,0,0
25/11/2020,0,0
26/11/2020,0,0
27/11/2020,0,0
28/11/2020,0,0
29/11/2020,0,0
30/11/2020,0,0
01/12/2020,0,0
02/12/2020,0,0
03/12/2020,0,0
04/12/2020,0,0
05/12/2020,0,0
06/12/2020,0,0
07/12/2020,0,0
08/12/2020,0,0
09/12/2020,0,0
10/12/2020,0,0
11/12/2020,0,0
12/12/2020,0,0
13/12/2020,0,0
14/12/2020,0,0
15/12/2020,0,0
16/12/2020,0,0
17/12/2020,0,0
18/12/2020,0,0
19/12/2020,0,0
20/12/2020,0,0
21/12/2020,0,0
22/12/2020,0,0
23/12/2020,0,0
24/12/2020,0,0
25/12/2020,0,0
26/12/2020,0,0
27/12/2020,0,0
28/12/2020,0,0
29/12/2020,0,0
30/12/2020,0,0
31/12/2020,0,0